trade_id,symbol,direction,entry_time,entry_price,exit_time,exit_price,bars_held,environment
T002,BTCUSDT,LONG,2026-01-30T08:54:59.999000+00:00,82657.48,2026-01-30T09:34:59.999000+00:00,82459.09,8,SPOT_TESTNET
T003,BTCUSDT,LONG,2026-01-30T09:44:59.999000+00:00,82538.02,2026-01-30T10:24:59.999000+00:00,82386.08,8,SPOT_TESTNET
T004,BTCUSDT,LONG,2026-01-30T11:54:59.999000+00:00,82803.17,2026-01-30T12:34:59.999000+00:00,82747.14,8,SPOT_TESTNET
T005,BTCUSDT,LONG,2026-01-30T14:59:59.999000+00:00,83142.1,2026-01-30T15:39:59.999000+00:00,82845.53,8,SPOT_TESTNET
T006,BTCUSDT,LONG,2026-01-30T19:54:59.999000+00:00,84332.58,2026-01-30T20:34:59.999000+00:00,83975.76,8,SPOT_TESTNET
T007,BTCUSDT,LONG,2026-01-30T21:34:59.999000+00:00,84274.89,2026-01-30T22:14:59.999000+00:00,84171.9,8,SPOT_TESTNET
T008,BTCUSDT,LONG,2026-01-30T22:19:59.999000+00:00,84042.13,2026-01-30T22:59:59.999000+00:00,84155.66,8,SPOT_TESTNET
T009,BTCUSDT,LONG,2026-01-30T23:34:59.999000+00:00,84068.43,2026-01-31T00:14:59.999000+00:00,84140.08295000001,8,SPOT_TESTNET
T010,BTCUSDT,LONG,2026-01-31T00:34:59.999000+00:00,84173.76,2026-01-31T01:14:59.999000+00:00,84194.56,8,SPOT_TESTNET
T011,BTCUSDT,LONG,2026-01-31T03:34:59.999000+00:00,84152.91,2026-01-31T04:14:59.999000+00:00,84083.1,8,SPOT_TESTNET
T012,BTCUSDT,LONG,2026-01-31T06:19:59.999000+00:00,83990.57,2026-01-31T06:59:59.999000+00:00,83798.07,8,SPOT_TESTNET
T013,BTCUSDT,LONG,2026-01-31T09:54:59.999000+00:00,83120.46,2026-01-31T10:34:59.999000+00:00,83057.83,8,SPOT_TESTNET
T014,BTCUSDT,LONG,2026-01-31T11:34:59.999000+00:00,83009.29,2026-01-31T12:14:59.999000+00:00,83111.37,8,SPOT_TESTNET
T015,BTCUSDT,LONG,2026-01-31T22:24:59.999000+00:00,78112.54,2026-01-31T23:04:59.999000+00:00,78197.41,8,SPOT_TESTNET
T016,BTCUSDT,LONG,2026-01-31T23:54:59.999000+00:00,78763.02,2026-02-01T00:34:59.999000+00:00,79104.59,8,SPOT_TESTNET
T017,BTCUSDT,LONG,2026-02-01T01:09:59.999000+00:00,78783.77,2026-02-01T01:49:59.999000+00:00,78350.17,8,SPOT_TESTNET
T018,BTCUSDT,LONG,2026-02-01T05:19:59.999000+00:00,78851.34,2026-02-01T05:59:59.999000+00:00,78591.63,8,SPOT_TESTNET
T019,BTCUSDT,LONG,2026-02-01T08:19:59.999000+00:00,78444.31,2026-02-01T08:59:59.999000+00:00,78599.04,8,SPOT_TESTNET
T020,BTCUSDT,LONG,2026-02-01T09:04:59.999000+00:00,78612.61,2026-02-01T09:44:59.999000+00:00,78800.0,8,SPOT_TESTNET
T021,BTCUSDT,LONG,2026-02-01T12:09:59.999000+00:00,78571.83,2026-02-01T12:49:59.999000+00:00,78435.46,8,SPOT_TESTNET
