trade_id,symbol,direction,entry_time,entry_price,exit_time,exit_price,bars_held,environment
T001,ETHUSDT,LONG,2026-01-30T12:29:59.999000+00:00,2748.49,2026-01-30T13:09:59.999000+00:00,2733.56,8,SPOT_TESTNET
T002,ETHUSDT,LONG,2026-01-30T15:04:59.999000+00:00,2750.8907999999997,2026-01-30T15:44:59.999000+00:00,2734.29,8,SPOT_TESTNET
T003,ETHUSDT,LONG,2026-01-30T19:44:59.999000+00:00,2744.17,2026-01-30T20:24:59.999000+00:00,2719.56,8,SPOT_TESTNET
T004,ETHUSDT,LONG,2026-01-31T06:04:59.999000+00:00,2698.3,2026-01-31T06:44:59.999000+00:00,2687.43,8,SPOT_TESTNET
T005,ETHUSDT,LONG,2026-01-31T09:54:59.999000+00:00,2646.87,2026-01-31T10:34:59.999000+00:00,2646.66,8,SPOT_TESTNET
T006,ETHUSDT,LONG,2026-01-31T13:24:59.999000+00:00,2633.56,2026-01-31T14:04:59.999000+00:00,2629.34,8,SPOT_TESTNET
T007,ETHUSDT,LONG,2026-01-31T15:49:59.999000+00:00,2544.42,2026-01-31T16:29:59.999000+00:00,2543.1,8,SPOT_TESTNET
T008,ETHUSDT,LONG,2026-01-31T22:24:59.999000+00:00,2410.95,2026-01-31T23:04:59.999000+00:00,2419.0,8,SPOT_TESTNET
T009,ETHUSDT,LONG,2026-01-31T23:54:59.999000+00:00,2441.29,2026-02-01T00:34:59.999000+00:00,2455.39,8,SPOT_TESTNET
T010,ETHUSDT,LONG,2026-02-01T00:39:59.999000+00:00,2458.61,2026-02-01T01:19:59.999000+00:00,2438.82,8,SPOT_TESTNET
T011,ETHUSDT,LONG,2026-02-01T02:29:59.999000+00:00,2446.86,2026-02-01T03:09:59.999000+00:00,2447.94,8,SPOT_TESTNET
T012,ETHUSDT,LONG,2026-02-01T03:19:59.999000+00:00,2449.66,2026-02-01T03:59:59.999000+00:00,2442.16,8,SPOT_TESTNET
T013,ETHUSDT,LONG,2026-02-01T04:34:59.999000+00:00,2448.23,2026-02-01T05:14:59.999000+00:00,2437.86,8,SPOT_TESTNET
T014,ETHUSDT,LONG,2026-02-01T08:14:59.999000+00:00,2412.71,2026-02-01T08:54:59.999000+00:00,2415.24,8,SPOT_TESTNET
T015,ETHUSDT,LONG,2026-02-01T12:34:59.999000+00:00,2395.15,2026-02-01T13:14:59.999000+00:00,2404.09,8,SPOT_TESTNET
